vague_cine_inv	pid	age	q2ad	Entrées Extrapolées	mois_cine
2326	399807843	24	99	470.84521391560344	2307
2326	312805955	53	2958	443.58711779362784	2307
2326	399856619	68	2924	354.14632549048366	2307
2326	386467296	33	2968	3427.167973164114	2307
2326	355759538	45	2915	629.8501977880516	2307
2326	311850872	67	2964	533.6512675335388	2307
2326	399865929	21	2943	1429.9359472258486	2307
2326	369665690	38	2914	345.8255703683177	2307
2326	1186914639	74	2939	1917.1397160620863	2307
2326	366629830	20	2969	1059.5214325666825	2307
2326	1167598671	63	2924	668.1163882968913	2307
2326	317772207	59	2923	1938.7093916295485	2307
2326	398506227	28	2964	5504.679017588064	2307
2326	399878701	43	2955	2685.85769960424	2307
2326	399868540	80	99	913.415298998829	2307
2326	1488258593	65	2964	923.2846408212823	2307
2326	283837129	43	2952	1083.0939409221662	2307
2326	120403686	50	2964	1541.0006295848134	2307
2326	354446289	72	2964	4733.696272788559	2307
2326	399276476	46	2965	2271.0505944147867	2307
2326	88025551	25	2930	1822.6623206048903	2307
2326	291336192	24	2860	97.54047336579406	2307
2326	373513002	29	2897	678.3559422026935	2307
2326	1488287985	67	2939	290.7909283621447	2307
2326	237808107	77	2967	3118.803828024976	2307
2326	222518910	56	2944	2001.8980356146492	2307
2326	202801107	38	2964	1253.8952052410991	2307
2326	340886634	40	2860	134.23907897253005	2307
2326	1653921305	35	2924	468.3723154301325	2307
2326	399985803	23	2949	1448.6513152843781	2307
2326	296371006	38	2942	1060.5923342238145	2307
2326	1488253133	35	2915	302.5357343188204	2307
2326	349408933	42	2959	898.8609699341504	2307
2326	1488285378	76	2946	787.4952809784944	2307
2326	212016348	37	2966	1019.9110200461233	2307
2326	244444521	62	2960	362.8403953445558	2307
2326	277447637	50	2964	785.1110864804795	2307
2326	400009800	18	2964	5504.679017588064	2307
2326	398620055	50	2964	1272.2477571517481	2307
2326	1488257375	62	2937	982.186312526159	2307
2326	1488287674	43	2964	1322.4637688409987	2307
2326	252707854	45	2946	558.1832235381727	2307
2326	5203821	50	2964	1199.7589545853264	2307
2326	1488278918	58	2924	205.91496172633313	2307
2326	281839984	60	2966	3878.269540471671	2307
2326	352924819	19	2929	2185.4638667787335	2307
2326	400034287	43	2954	814.0177984106392	2307
2326	384227054	43	2965	1319.3835377088674	2307
2326	1704248198	59	2944	1211.5554612396018	2307
2326	399447433	40	2964	926.1372446872067	2307
2326	263076450	48	2946	799.6421454878305	2307
2326	1488259429	57	2953	1805.9447868798068	2307
2326	356535016	34	2964	3822.13990617577	2307
2326	314779575	36	2964	1766.2264438317932	2307
2326	324777213	23	2860	110.49101821048393	2307
2326	163952568	51	2964	2341.620156684658	2307
2326	259972951	26	2929	3267.9408339902634	2307
2326	294912656	30	2929	899.5003182329775	2307
2326	100901231	60	99	1101.0113457371297	2307
2326	376433455	18	2944	3172.668853899963	2307
2326	1488290751	61	2964	2843.70334370991	2307
2326	400029470	35	2964	1909.5849269594507	2307
2326	274060130	60	2966	949.1221845064221	2307
2326	245601634	46	2964	1238.916054648831	2307
2326	385116505	18	2944	2683.6478297689246	2307
2326	1354022290	24	2915	312.7641849952498	2307
2326	237461107	50	2964	4902.412656065052	2307
2326	343567218	50	2964	2346.8241703056647	2307
2326	399630207	22	2929	3389.2506913212846	2307
2326	265442277	41	2964	2143.4825214806797	2307
2326	308066538	24	2964	1236.1244956768805	2307
2326	375759994	58	2964	2309.869222161952	2307
2326	362179250	78	2964	5504.679017588064	2307
2326	1401744404	44	2954	1683.2775899571195	2307
2326	1488264826	38	2964	2372.1706797362995	2307
2326	351260956	46	2942	359.83946628790665	2307
2326	344059747	32	2937	5441.951062228663	2307
2326	397403962	57	2964	2219.3601176728307	2307
2326	294984881	40	2921	1028.2423032027207	2307
2326	399355669	23	2970	2620.167138429311	2307
2326	313631039	65	2944	876.0451365000728	2307
2326	365045506	54	2954	436.0245006778024	2307
2326	261056651	24	2954	5510.806736166823	2307
2326	353893228	53	2964	1541.0006295848134	2307
2326	325655655	53	2964	1653.4528354186134	2307
2326	221824881	52	2944	1041.901925189993	2307
2326	286251477	33	2957	556.3416821511408	2307
2326	400090721	23	2929	3376.6682206457153	2307
2326	77548686	37	2897	511.42910466368454	2307
2326	1488250054	50	2954	1257.1477912511546	2307
2326	365102818	51	2964	1210.1193548233164	2307
2326	399857449	44	2964	1242.5105740630884	2307
2326	296074495	32	99	1013.5338898165496	2307
2326	399233675	22	2967	2838.4488709345774	2307
2326	399362297	43	2915	608.8609475381979	2307
2326	309317529	37	2964	2530.2607520349743	2307
2326	271878968	60	2946	589.8071158488087	2307
2326	314861354	52	2914	312.2654187470439	2307
2326	400102511	23	2960	1115.5490469495141	2307
2326	365351875	19	2915	1575.7276383486526	2307
2326	357030921	45	2964	1268.5869424030075	2307
2326	371934887	20	2897	534.8072310128786	2307
2326	400109407	18	2921	753.3186772888828	2307
2326	400111718	27	2860	272.86990937690024	2307
2326	400112309	30	2897	573.6695958539682	2307
2326	181461317	51	2939	275.80917937050555	2307
2326	299434063	20	2964	2908.6047498109106	2307
2326	142789766	51	2964	3450.9104148782876	2307
2326	399874948	29	2921	2086.8923532658023	2307
2326	398635180	24	2897	826.0299648586301	2307
2326	220682792	23	2929	1697.0479198325443	2307
2326	386619319	24	2944	1768.734284448441	2307
